Date,Open,High,Low,Close,Adj Close,Volume
2011-12-01,38.860001,42.470001,38.790001,42.040001,35.460533,230611500
2012-01-01,42.410000,45.500000,41.919998,44.389999,37.442734,196659700
2012-02-01,44.689999,48.070000,44.299999,47.570000,40.125050,189647500
2012-03-01,47.529999,50.419998,46.119999,50.310001,42.436226,197964600
2012-04-01,50.099998,52.389999,49.360001,51.790001,43.953568,176244800
2012-05-01,51.930000,52.880001,46.369999,49.340000,41.874287,286227600
2012-06-01,48.849998,53.279999,47.750000,52.990002,45.237343,287347600
2012-07-01,52.959999,54.279999,49.770000,52.180000,44.545849,205145900
2012-08-01,52.310001,57.180000,51.209999,56.750000,48.447243,188405400
2012-09-01,56.790001,60.580002,56.369999,60.369999,51.802711,144599900
2012-10-01,60.770000,63.200001,58.750000,61.380001,52.669376,197653000
2012-11-01,61.950001,65.230003,60.310001,65.070000,55.835724,178244000
2012-12-01,65.000000,65.919998,60.209999,61.849998,53.311745,143325700
2013-01-01,63.570000,68.150002,62.380001,66.919998,57.681850,127826000
2013-02-01,67.620003,69.190002,63.820000,68.500000,59.043724,143475800
2013-03-01,68.379997,71.449997,68.089996,69.779999,60.147030,128165200
2013-04-01,69.510002,74.589996,69.510002,73.349998,63.571831,155248500
2013-05-01,73.180000,81.559998,72.529999,78.660004,68.173958,158696200
2013-06-01,78.650002,79.680000,72.410004,77.470001,67.142586,177557000
2013-07-01,77.629997,81.230003,76.629997,79.029999,68.834091,125062100
2013-08-01,79.519997,80.500000,73.110001,74.489998,64.879822,169108600
2013-09-01,74.830002,78.809998,72.209999,75.849998,66.064362,147410900
2013-10-01,75.879997,78.599998,73.739998,77.889999,68.198227,164100100
2013-11-01,77.980003,82.269997,74.779999,80.669998,70.632309,138731300
2013-12-01,80.449997,82.470001,77.699997,82.339996,72.094536,128287300
2014-01-01,82.110001,82.570000,75.849998,76.849998,67.618217,137041800
2014-02-01,76.639999,83.099998,73.959999,82.029999,72.175980,147322300
2014-03-01,80.730003,83.199997,78.370003,79.129997,69.624336,129832500
2014-04-01,79.239998,81.150002,74.610001,79.510002,70.361092,161862300
2014-05-01,79.510002,80.269997,75.320000,80.230003,70.998260,120703800
2014-06-01,80.250000,81.470001,77.750000,80.959999,71.644249,129672100
2014-07-01,81.320000,82.349998,77.949997,80.849998,71.965317,127291500
2014-08-01,80.559998,93.519997,79.660004,93.500000,83.225189,148205800
2014-09-01,93.040001,93.750000,88.330002,91.739998,81.658592,153432100
2014-10-01,92.139999,99.260002,86.349998,97.519997,87.241966,145336900
2014-11-01,96.809998,99.800003,95.150002,99.400002,88.923820,103033400
2014-12-01,99.489998,106.019997,96.989998,104.970001,93.906799,118058000
2015-01-01,105.160004,107.739998,100.239998,104.419998,93.860901,109808700
2015-02-01,104.779999,117.919998,101.570000,114.750000,103.146317,110415700
2015-03-01,114.860001,117.989998,111.580002,113.610001,102.121582,104110600
2015-04-01,113.879997,116.250000,106.620003,106.980003,96.656853,95675500
2015-05-01,106.980003,116.480003,106.849998,111.419998,100.668396,100397400
2015-06-01,111.970001,113.709999,109.029999,111.129997,100.406387,104809700
2015-07-01,112.449997,118.129997,110.169998,117.029999,106.298683,97800100
2015-08-01,117.620003,123.800003,92.169998,116.459999,105.780945,135234000
2015-09-01,113.989998,119.820000,111.800003,115.489998,104.899879,122128700
2015-10-01,116.230003,125.750000,114.709999,123.639999,112.874390,97180400
2015-11-01,124.239998,135.470001,118.610001,133.880005,122.222778,111416100
